,Wavelength,V1,V2,Gain,Out,Angle
0,123,0.6,0.6,1,-0.13071875,36.97551184263348
1,123,0.841025641025641,0.6,1,-0.13137500000000002,36.89963869931754
2,123,1.082051282051282,0.6,1,-0.13310937500000009,36.69911682055398
3,123,1.323076923076923,0.6,1,-0.13435937500000006,36.55459654757125
4,123,1.564102564102564,0.6,1,-0.13671875,36.28181453231634
5,123,1.805128205128205,0.6,1,-0.14082812500000008,35.80670413488558
6,123,2.046153846153846,0.6,1,-0.14632812499999992,35.170814933761555
7,123,2.287179487179487,0.6,1,-0.15742187500000004,33.88819751103974
8,123,2.528205128205128,0.6,1,-0.18014062499999994,31.261541549578492
9,123,2.769230769230769,0.6,1,-0.22698437500000002,25.84564431955038
10,123,3.01025641025641,0.6,1,-0.3081093749999999,16.466278602970707
11,123,3.2512820512820513,0.6,1,-0.36454687500000005,9.941188277800078
12,123,3.4923076923076923,0.6,1,-0.37764062499999995,8.427338418305911
13,123,3.7333333333333334,0.6,1,-0.3346093750000001,13.402448815736644
14,123,3.9743589743589745,0.6,1,-0.15889062499999995,33.71838619028503
15,123,4.2153846153846155,0.6,1,0.067125,59.84945804897631
16,123,4.456410256410257,0.6,1,0.2328125,79.00562023283821
17,123,4.697435897435897,0.6,1,0.30067187500000003,86.8512645523886
18,123,4.938461538461538,0.6,1,0.32790625,90.0
19,123,5.179487179487179,0.6,1,0.316984375,88.73725411481333
20,123,5.42051282051282,0.6,1,0.279203125,84.36912886391006
21,123,5.661538461538461,0.6,1,0.22853125,78.51063829787233
22,123,5.902564102564102,0.6,1,0.169296875,71.66218386190285
23,123,6.143589743589743,0.6,1,0.0829375,61.677639502207946
24,123,6.384615384615384,0.6,1,-0.0051874999999999005,51.48896025692494
25,123,6.625641025641025,0.6,1,-0.07899999999999996,42.95503813729427
26,123,6.866666666666666,0.6,1,-0.14456249999999993,35.374949819349666
27,123,7.107692307692307,0.6,1,-0.19685937500000006,29.32858289843436
28,123,7.348717948717948,0.6,1,-0.23968750000000005,24.376957045363305
29,123,7.589743589743589,0.6,1,-0.2718281250000001,20.660979526294653
30,123,7.8307692307692305,0.6,1,-0.294828125,18.001806503412286
31,123,8.071794871794872,0.6,1,-0.30965624999999997,16.287434765154565
32,123,8.312820512820513,0.6,1,-0.3212187500000001,14.950622240064222
33,123,8.553846153846154,0.6,1,-0.32857812499999994,14.099759132878372
34,123,8.794871794871794,0.6,1,-0.33406249999999993,13.465676435166612
35,123,9.035897435897436,0.6,1,-0.3375937499999999,13.05740666399038
36,123,9.276923076923076,0.6,1,-0.33946875,12.840626254516264
37,123,9.517948717948718,0.6,1,-0.3408906250000001,12.676234443998386
38,123,9.758974358974358,0.6,1,-0.3413124999999999,12.627458851866734
39,123,10.0,0.6,1,-0.340125,12.764753111200324
40,123,0.6,0.6,1,-0.1314375000000001,36.8924126856684
41,123,0.6,0.841025641025641,1,-0.1314375000000001,36.8924126856684
42,123,0.6,1.082051282051282,1,-0.13096875000000008,36.94660778803692
43,123,0.6,1.323076923076923,1,-0.13132812500000002,36.9050582095544
44,123,0.6,1.564102564102564,1,-0.13110937500000008,36.93034925732636
45,123,0.6,1.805128205128205,1,-0.1304687499999999,37.00441589723004
46,123,0.6,2.046153846153846,1,-0.130671875,36.980931352870336
47,123,0.6,2.287179487179487,1,-0.1300468749999999,37.053191489361716
48,123,0.6,2.528205128205128,1,-0.12815624999999997,37.271778402248096
49,123,0.6,2.769230769230769,1,-0.12031250000000004,38.17864311521477
50,123,0.6,3.01025641025641,1,-0.08464062500000002,42.30289040545965
51,123,0.6,3.2512820512820513,1,-0.009828124999999854,50.95242874347653
52,123,0.6,3.4923076923076923,1,0.08415625,61.81854676836612
53,123,0.6,3.7333333333333334,1,0.168015625,71.51405058209554
54,123,0.6,3.9743589743589745,1,0.191640625,74.24548374146929
55,123,0.6,4.2153846153846155,1,0.18837500000000001,73.86792452830188
56,123,0.6,4.456410256410257,1,0.159421875,70.52047370533923
57,123,0.6,4.697435897435897,1,0.091234375,62.63689281413087
58,123,0.6,4.938461538461538,1,0.019015625,54.28723404255319
59,123,0.6,5.179487179487179,1,-0.037531249999999794,47.74949819349661
60,123,0.6,5.42051282051282,1,-0.08578124999999992,42.17101565636292
61,123,0.6,5.661538461538461,1,-0.12084374999999992,38.11722199919712
62,123,0.6,5.902564102564102,1,-0.14256249999999993,35.60618225612205
63,123,0.6,6.143589743589743,1,-0.15232812499999993,34.47711762344441
64,123,0.6,6.384615384615384,1,-0.15412500000000007,34.26936973103171
65,123,0.6,6.625641025641025,1,-0.150296875,34.71196306704135
66,123,0.6,6.866666666666666,1,-0.1421406249999999,35.65495784825372
67,123,0.6,7.107692307692307,1,-0.1318125000000001,36.849056603773576
68,123,0.6,7.348717948717948,1,-0.121234375,38.07205941389
69,123,0.6,7.589743589743589,1,-0.10873437500000005,39.517262143717375
70,123,0.6,7.8307692307692305,1,-0.09834374999999995,40.718586912886394
71,123,0.6,8.071794871794872,1,-0.08781250000000007,41.93617021276595
72,123,0.6,8.312820512820513,1,-0.0774999999999999,43.12846246487356
73,123,0.6,8.553846153846154,1,-0.06781250000000005,44.248494580489755
74,123,0.6,8.794871794871794,1,-0.05879687500000008,45.29084704937775
75,123,0.6,9.035897435897436,1,-0.05067187499999992,46.230228823765565
76,123,0.6,9.276923076923076,1,-0.04271875000000014,47.14973906061821
77,123,0.6,9.517948717948718,1,-0.035578124999999794,47.97531112003214
78,123,0.6,9.758974358974358,1,-0.028812499999999908,48.7575270975512
79,123,0.6,10.0,1,-0.022499999999999964,49.487354476114014
80,123,0.6,0.6,1,-0.13082812500000007,36.96286631874748
81,123,0.841025641025641,0.841025641025641,1,-0.13154687499999995,36.879767161782425
82,123,1.082051282051282,1.082051282051282,1,-0.13290625,36.72260136491369
83,123,1.323076923076923,1.323076923076923,1,-0.1343749999999999,36.55279004415898
84,123,1.564102564102564,1.564102564102564,1,-0.13612500000000005,36.35046166198313
85,123,1.805128205128205,1.805128205128205,1,-0.140296875,35.868125250903255
86,123,2.046153846153846,2.046153846153846,1,-0.146203125,35.18526696105982
87,123,2.287179487179487,2.287179487179487,1,-0.1569687500000001,33.94058610999598
88,123,2.528205128205128,2.528205128205128,1,-0.17884374999999997,31.41148133279808
89,123,2.769230769230769,2.769230769230769,1,-0.23226562499999992,25.235046166198327
90,123,3.01025641025641,3.01025641025641,1,-0.350953125,11.512846246487362
91,123,3.2512820512820513,3.2512820512820513,1,-0.424390625,3.0222802087515084
92,123,3.4923076923076923,3.4923076923076923,1,-0.4395,1.275391409072667
93,123,3.7333333333333334,3.7333333333333334,1,-0.3909218750000001,6.8918105178643065
94,123,3.9743589743589745,3.9743589743589745,1,-0.1784062500000001,31.46206342834202
95,123,4.2153846153846155,4.2153846153846155,1,-0.17043750000000002,32.38338016860698
96,123,4.456410256410257,4.456410256410257,1,-0.3788750000000001,8.284624648735443
97,123,4.697435897435897,4.697435897435897,1,-0.4361250000000001,1.6655961461260482
98,123,4.938461538461538,4.938461538461538,1,-0.44395312499999995,0.7605379365716696
99,123,5.179487179487179,5.179487179487179,1,-0.42196875,3.302288237655565
100,123,5.42051282051282,5.42051282051282,1,-0.34487500000000004,12.215576073865916
101,123,5.661538461538461,5.661538461538461,1,-0.1529218750000001,34.40847049377759
102,123,5.902564102564102,5.902564102564102,1,-0.020078124999999947,49.76736250501807
103,123,6.143589743589743,6.143589743589743,1,0.021843750000000002,54.61421116017663
104,123,6.384615384615384,6.384615384615384,1,-0.0028437499999998117,51.75993576876758
105,123,6.625641025641025,6.625641025641025,1,-0.07228125000000007,43.73183460457647
106,123,6.866666666666666,6.866666666666666,1,-0.17160937500000006,32.247892412685665
107,123,7.107692307692307,7.107692307692307,1,-0.27654687499999997,20.11541549578483
108,123,7.348717948717948,7.348717948717948,1,-0.3503281250000001,11.585106382978715
109,123,7.589743589743589,7.589743589743589,1,-0.3899531249999999,7.00381372942595
110,123,7.8307692307692305,7.8307692307692305,1,-0.4116875,4.4909674829385855
111,123,8.071794871794872,8.071794871794872,1,-0.4247343750000001,2.9825371336812454
112,123,8.312820512820513,8.312820512820513,1,-0.43376562499999993,1.9383781613809847
113,123,8.553846153846154,8.553846153846154,1,-0.43981249999999994,1.2392613408269897
114,123,8.794871794871794,8.794871794871794,1,-0.4444531250000001,0.7027298273785552
115,123,9.035897435897436,9.035897435897436,1,-0.44740625,0.3613006824568497
116,123,9.276923076923076,9.276923076923076,1,-0.44890625000000006,0.18787635487755774
117,123,9.517948717948718,9.517948717948718,1,-0.45018749999999996,0.03974307507026297
118,123,9.758974358974358,9.758974358974358,1,-0.45053125000000005,0.0
119,123,10.0,10.0,1,-0.4504531249999999,0.009032517061438572
120,123,0.6,10.0,1,-0.023140624999999915,49.413287836210365
121,123,0.841025641025641,9.758974358974358,1,-0.030546875000000195,48.55700521878761
122,123,1.082051282051282,9.517948717948718,1,-0.039281250000000156,47.547169811320735
123,123,1.323076923076923,9.276923076923076,1,-0.04914062499999994,46.40726615816941
124,123,1.564102564102564,9.035897435897436,1,-0.06142187499999996,44.987354476114014
125,123,1.805128205128205,8.794871794871794,1,-0.07687500000000003,43.20072260136491
126,123,2.046153846153846,8.553846153846154,1,-0.09662499999999996,40.91730228823766
127,123,2.287179487179487,8.312820512820513,1,-0.12629687499999998,37.48675230830992
128,123,2.528205128205128,8.071794871794872,1,-0.17615625000000001,31.72219991971096
129,123,2.769230769230769,7.8307692307692305,1,-0.2648124999999999,21.472099558410292
130,123,3.01025641025641,7.589743589743589,1,-0.3688437499999999,9.444399839421934
131,123,3.2512820512820513,7.348717948717948,1,-0.4107812500000001,4.595744680851058
132,123,3.4923076923076923,7.107692307692307,1,-0.4120625,4.447611401043763
133,123,3.7333333333333334,6.866666666666666,1,-0.347,11.96989160979527
134,123,3.9743589743589745,6.625641025641025,1,-0.103515625,40.120634283420316
135,123,4.2153846153846155,6.384615384615384,1,0.093625,62.91328783621035
136,123,4.456410256410257,6.143589743589743,1,0.13675,67.89923725411481
137,123,4.697435897435897,5.902564102564102,1,0.009984375,53.24307507025291
138,123,4.938461538461538,5.661538461538461,1,-0.2125625,27.513046969088723
139,123,5.179487179487179,5.42051282051282,1,-0.37059375000000006,9.242071457246084
140,123,5.42051282051282,5.179487179487179,1,-0.40184375000000006,5.629064632677638
141,123,5.661538461538461,4.938461538461538,1,-0.379140625,8.253914090726619
142,123,5.902564102564102,4.697435897435897,1,-0.2515624999999999,23.00401445202731
143,123,6.143589743589743,4.456410256410257,1,-0.049609374999999956,46.35307105580089
144,123,6.384615384615384,4.2153846153846155,1,0.073421875,60.57747892412685
145,123,6.625641025641025,3.9743589743589745,1,0.040046875,56.71878763548775
146,123,6.866666666666666,3.7333333333333334,1,-0.13712499999999994,36.23484544359696
147,123,7.107692307692307,3.4923076923076923,1,-0.33629687499999994,13.207346447209966
148,123,7.348717948717948,3.2512820512820513,1,-0.389046875,7.108590927338422
149,123,7.589743589743589,3.01025641025641,1,-0.37635937500000005,8.575471698113207
150,123,7.8307692307692305,2.769230769230769,1,-0.33496875000000004,13.360899237254115
