,Wavelength,V1,V2,Gain,Out,Angle
0,490,4.858119658119658,0.6,1,0.032703125,46.9625520110957
1,490,4.858119658119658,0.6377510040160642,1,0.075234375,51.15734319617815
2,490,4.858119658119658,0.6755020080321285,1,0.159234375,59.4421328401911
3,490,4.858119658119658,0.7132530120481928,1,0.158140625,59.33425797503468
4,490,4.858119658119658,0.751004016064257,1,0.158546875,59.374325782092775
5,490,4.858119658119658,0.7887550200803213,1,0.157984375,59.318847280012335
6,490,4.858119658119658,0.8265060240963855,1,0.156328125,59.155493912775476
7,490,4.858119658119658,0.8642570281124498,1,0.15609375,59.13237787024195
8,490,4.858119658119658,0.902008032128514,1,0.15471875000000002,58.99676375404531
9,490,4.858119658119658,0.9397590361445782,1,0.15553125,59.076899368161506
10,490,4.858119658119658,0.9775100401606426,1,0.1554375,59.0676529511481
11,490,4.858119658119658,1.015261044176707,1,0.155109375,59.035290491601174
12,490,4.858119658119658,1.053012048192771,1,0.1460625,58.143011249807365
13,490,4.858119658119658,1.0907630522088354,1,0.144046875,57.94421328401911
14,490,4.858119658119658,1.1285140562248996,1,0.15517187500000001,59.041454769610105
15,490,4.858119658119658,1.1662650602409639,1,0.14865625,58.398828787178296
16,490,4.858119658119658,1.2040160642570281,1,0.15453125,58.978270920018495
17,490,4.858119658119658,1.2417670682730924,1,0.153625,58.88888888888889
18,490,4.858119658119658,1.2795180722891566,1,0.144484375,57.98736323008168
19,490,4.858119658119658,1.3172690763052208,1,0.153,58.827246108799514
20,490,4.858119658119658,1.3550200803212853,1,0.153609375,58.88734781938666
21,490,4.858119658119658,1.3927710843373493,1,0.148734375,58.40653413468947
22,490,4.858119658119658,1.4305220883534138,1,0.153625,58.88888888888889
23,490,4.858119658119658,1.4682730923694778,1,0.152859375,58.8133764832794
24,490,4.858119658119658,1.5060240963855422,1,0.152703125,58.797965788257045
25,490,4.858119658119658,1.5437751004016065,1,0.153359375,58.8626907073509
26,490,4.858119658119658,1.5815261044176707,1,0.154109375,58.93666204345816
27,490,4.858119658119658,1.6192771084337352,1,0.15178125,58.70704268762521
28,490,4.858119658119658,1.6570281124497992,1,0.151546875,58.683926645091695
29,490,4.858119658119658,1.6947791164658637,1,0.151140625,58.6438588380336
30,490,4.858119658119658,1.7325301204819277,1,0.15159375,58.688549853598396
31,490,4.858119658119658,1.7702811244979921,1,0.15221875,58.75019263368779
32,490,4.858119658119658,1.8080321285140561,1,0.14353125,57.893357990445374
33,490,4.858119658119658,1.8457831325301206,1,0.15051562500000001,58.58221605794422
34,490,4.858119658119658,1.8835341365461846,1,0.150265625,58.55755894590847
35,490,4.858119658119658,1.921285140562249,1,0.153234375,58.85036215133303
36,490,4.858119658119658,1.959036144578313,1,0.14365625,57.90568654646325
37,490,4.858119658119658,1.9967871485943776,1,0.151046875,58.63461242102019
38,490,4.858119658119658,2.034538152610442,1,0.150453125,58.57605177993528
39,490,4.858119658119658,2.072289156626506,1,0.13273437500000002,56.828478964401306
40,490,4.858119658119658,2.1100401606425705,1,0.15031250000000002,58.562182154415176
41,490,4.858119658119658,2.1477911646586345,1,0.151,58.62998921251349
42,490,4.858119658119658,2.185542168674699,1,0.149984375,58.529819694868245
43,490,4.858119658119658,2.223293172690763,1,0.14115625,57.65911542610572
44,490,4.858119658119658,2.2610441767068274,1,0.150421875,58.572969640930815
45,490,4.858119658119658,2.2987951807228915,1,0.15121875,58.651564185544764
46,490,4.858119658119658,2.336546184738956,1,0.1504375,58.574510710433046
47,490,4.858119658119658,2.37429718875502,1,0.146671875,58.20311296039452
48,490,4.858119658119658,2.4120481927710844,1,0.151296875,58.65926953305594
49,490,4.858119658119658,2.449799196787149,1,0.150125,58.54368932038836
50,490,4.858119658119658,2.487550200803213,1,0.151234375,58.65310525504701
51,490,4.858119658119658,2.5253012048192773,1,0.15051562500000001,58.58221605794422
52,490,4.858119658119658,2.5630522088353414,1,0.152234375,58.75173370319002
53,490,4.858119658119658,2.600803212851406,1,0.152,58.728617660656504
54,490,4.858119658119658,2.6385542168674703,1,0.15303125,58.830328247803976
55,490,4.858119658119658,2.6763052208835343,1,0.15571875000000002,59.09539220218832
56,490,4.858119658119658,2.7140562248995987,1,0.145390625,58.076745261211286
57,490,4.858119658119658,2.7518072289156628,1,0.154390625,58.96440129449839
58,490,4.858119658119658,2.789558232931727,1,0.14940625,58.47280012328556
59,490,4.858119658119658,2.8273092369477912,1,0.156484375,59.170904607797816
60,490,4.858119658119658,2.8650602409638557,1,0.159265625,59.44521497919556
61,490,4.858119658119658,2.9028112449799197,1,0.161125,59.628602249961475
62,490,4.858119658119658,2.940562248995984,1,0.1894375,62.42102018801049
63,490,4.858119658119658,2.978313253012048,1,0.16771875,60.27893357990446
64,490,4.858119658119658,3.0160642570281126,1,0.171671875,60.6688241639698
65,490,4.858119658119658,3.053815261044177,1,0.17446875,60.94467560486978
66,490,4.858119658119658,3.091566265060241,1,0.1783125,61.32377870241948
67,490,4.858119658119658,3.1293172690763056,1,0.183296875,61.81537987363231
68,490,4.858119658119658,3.1670682730923696,1,0.1895625,62.43334874402836
69,490,4.858119658119658,3.204819277108434,1,0.193234375,62.79550007705348
70,490,4.858119658119658,3.242570281124498,1,0.196796875,63.146863923562954
71,490,4.858119658119658,3.2803212851405625,1,0.203140625,63.77253814147018
72,490,4.858119658119658,3.3180722891566266,1,0.208296875,64.28109107720759
73,490,4.858119658119658,3.355823293172691,1,0.204359375,63.89274156264448
74,490,4.858119658119658,3.393574297188755,1,0.21384375,64.82817075050085
75,490,4.858119658119658,3.4313253012048195,1,0.21659375,65.09939898289413
76,490,4.858119658119658,3.469076305220884,1,0.21403125,64.84666358452766
77,490,4.858119658119658,3.506827309236948,1,0.21676562500000002,65.11635074741872
78,490,4.858119658119658,3.5445783132530124,1,0.218484375,65.28586839266453
79,490,4.858119658119658,3.5823293172690764,1,0.215421875,64.98381877022653
80,490,4.858119658119658,3.620080321285141,1,0.211375,64.58468176914779
81,490,4.858119658119658,3.657831325301205,1,0.20721875,64.1747572815534
82,490,4.858119658119658,3.6955823293172694,1,0.201953125,63.65541685930035
83,490,4.858119658119658,3.7333333333333334,1,0.194125,62.88334103868085
84,490,4.858119658119658,3.771084337349398,1,0.19196875,62.67067344737248
