,Unnamed: 0,Wavelength,V1,V2,Gain,Out,Angle
115,115,514,5.296017132620011,4.941365461847389,4,-0.08140625,0.0684426911285839
116,116,514,5.296017132620011,4.979116465863454,4,-0.08131640625,0.1176358753772507
117,117,514,5.296017132620011,5.016867469879518,4,-0.08087109375,0.3614629625228671
118,118,514,5.296017132620011,5.054618473895582,4,-0.08001171875,0.832006464031931
119,119,514,5.296017132620011,5.092369477911647,4,-0.07855859375,1.6276527484018064
120,120,514,5.296017132620011,5.130120481927711,4,-0.0771679687499999,2.389077687207405
121,121,514,5.296017132620011,5.167871485943775,4,-0.07538671875,3.36438603578981
122,122,514,5.296017132620011,5.205622489959839,4,-0.07387109375,4.194253665723992
123,123,514,5.296017132620011,5.243373493975904,4,-0.0716796874999999,5.394139594572127
124,124,514,5.296017132620011,5.281124497991968,4,-0.06975390625,6.448584804771978
125,125,514,5.296017132620011,5.318875502008032,4,-0.0675859375,7.63563772903347
126,126,514,5.296017132620011,5.356626506024096,4,-0.064734375,9.196986620404472
127,127,514,5.296017132620011,5.394377510040161,4,-0.06212109375,10.62786663181158
128,128,514,5.296017132620011,5.432128514056225,4,-0.05912890625,12.26621355070225
129,129,514,5.296017132620011,5.469879518072289,4,-0.0564999999999999,13.705648898500444
130,130,514,5.296017132620011,5.507630522088354,4,-0.0538242187499999,15.17075025547186
131,131,514,5.296017132620011,5.545381526104418,4,-0.05076171875,16.84759618812233
132,132,514,5.296017132620011,5.583132530120482,4,-0.0479999999999999,18.359751895244667
133,133,514,5.296017132620011,5.620883534136546,4,-0.0446289062499999,20.205565721618868
134,134,514,5.296017132620011,5.658634538152611,4,-0.0418281249999999,21.739109769718866
135,135,514,5.296017132620011,5.696385542168675,4,-0.0383867187499999,23.623422609852906
136,136,514,5.296017132620011,5.734136546184739,4,-0.0355156249999999,25.195465671712736
137,137,514,5.296017132620011,5.771887550200803,4,-0.03220703125,27.007058152522628
138,138,514,5.296017132620011,5.809638554216868,4,-0.02953125,28.472159509494045
139,139,514,5.296017132620011,5.847389558232932,4,-0.02613671875,30.330806340454856
140,140,514,5.296017132620011,5.885140562248996,4,-0.0233515624999999,31.8557950521638
141,141,514,5.296017132620011,5.9228915662650605,4,-0.0207148437499999,33.29950806815752
142,142,514,5.296017132620011,5.9606425702811245,4,-0.0174726562499999,35.07474036930536
143,143,514,5.296017132620011,5.998393574297189,4,-0.01477734375,36.55053589676561
144,144,514,5.296017132620011,6.036144578313253,4,-0.0116679687499999,38.25304783858933
145,145,514,5.296017132620011,6.0738955823293175,4,-0.0091367187499999,39.6390123339433
146,146,514,5.296017132620011,6.1116465863453815,4,-0.0065273437499999,41.06775351125266
147,147,514,5.296017132620011,6.1493975903614455,4,-0.0040859374999999,42.40452482235796
148,148,514,5.296017132620011,6.1871485943775095,4,-0.0011054687499999,44.03645523895533
149,149,514,5.296017132620011,6.224899598393574,4,0.0014140625,45.41600323201597
150,150,514,5.296017132620011,6.2626506024096384,4,0.0037734375,46.70785902706814
151,151,514,5.296017132620011,6.3004016064257025,4,0.00663671875,48.275624420732434
152,152,514,5.296017132620011,6.338152610441767,4,0.0090078125,49.573896718077904
153,153,514,5.296017132620011,6.375903614457831,4,0.01165625,51.02402623636494
154,154,514,5.296017132620011,6.413654618473895,4,0.01427734375,52.45918391596759
155,155,514,5.296017132620011,6.451405622489959,4,0.01639453125,53.6184319969581
156,156,514,5.296017132620011,6.489156626506024,4,0.01845703125,54.74773640057987
157,157,514,5.296017132620011,6.526907630522088,4,0.0209765625,56.12728439364054
158,158,514,5.296017132620011,6.564658634538152,4,0.0229375,57.20097911072031
159,159,514,5.296017132620011,6.602409638554216,4,0.02531640625,58.50352907626132
160,160,514,5.296017132620011,6.640160642570281,4,0.02725,59.56225195465672
161,161,514,5.296017132620011,6.677911646586345,4,0.02913671875,60.595308823878895
162,162,514,5.296017132620011,6.715662650602409,4,0.03133203125,61.797333586824784
163,163,514,5.296017132620011,6.753413654618474,4,0.03311328125,62.772641935407215
164,164,514,5.296017132620011,6.791164658634538,4,0.0347421875,63.66453575417667
165,165,514,5.296017132620011,6.828915662650602,4,0.0368515625,64.81950616697165
166,166,514,5.296017132620011,6.866666666666666,4,0.03839453125,65.66434563559021
167,167,514,5.296017132620011,6.904417670682731,4,0.04026953125,66.69098600251908
168,168,514,5.296017132620011,6.942168674698795,4,0.0417890625,67.52299246655102
169,169,514,5.296017132620011,6.979919678714859,4,0.0435546875,68.48974547874236
170,170,514,5.296017132620011,7.017670682730923,4,0.045046875,69.30678010408992
171,171,514,5.296017132620011,7.055421686746988,4,0.04683984375,70.28850495496566
172,172,514,5.296017132620011,7.093172690763052,4,0.048171875,71.01784738230472
173,173,514,5.296017132620011,7.130923694779116,4,0.04975390625,71.88407519190096
174,174,514,5.296017132620011,7.168674698795181,4,0.05113671875,72.641222462511
175,175,514,5.296017132620011,7.206425702811245,4,0.05231640625,73.28715036003707
176,176,514,5.296017132620011,7.244176706827309,4,0.05385546875,74.12985099455786
177,177,514,5.296017132620011,7.281927710843373,4,0.05497265625,74.74155754651964
178,178,514,5.296017132620011,7.319678714859438,4,0.05604296875,75.32759808930821
179,179,514,5.296017132620011,7.357429718875502,4,0.05733984375,76.03769100976736
180,180,514,5.296017132620011,7.395180722891566,4,0.058484375,76.66436940041352
181,181,514,5.296017132620011,7.43293172690763,4,0.0596875,77.32313030252621
182,182,514,5.296017132620011,7.470682730923695,4,0.06076171875,77.91130967941254
183,183,514,5.296017132620011,7.508433734939759,4,0.06190625,78.5379880700587
184,184,514,5.296017132620011,7.546184738955823,4,0.06284765625,79.05344708762091
185,185,514,5.296017132620011,7.583935742971888,4,0.06391796875,79.63948763040948
186,186,514,5.296017132620011,7.621686746987952,4,0.0645546875,79.98811758834573
187,187,514,5.296017132620011,7.659437751004016,4,0.06533203125,80.41374557380166
188,188,514,5.296017132620011,7.69718875502008,4,0.06616015625,80.86717840252858
189,189,514,5.296017132620011,7.734939759036145,4,0.0668359375,81.23719670144253
190,190,514,5.296017132620011,7.772690763052209,4,0.06748046875,81.59010432757434
191,191,514,5.296017132620011,7.810441767068273,4,0.06840234375,82.09486917464768
192,192,514,5.296017132620011,7.848192771084337,4,0.06956640625,82.7322417357827
193,193,514,5.296017132620011,7.885943775100402,4,0.07032421875,83.14717555074978
