,Wavelength,V1,V2,Out
51,480,0.05,0.1306122448979592,-0.3419062500000001
52,480,0.05,0.2112244897959184,-0.34192187499999993
53,480,0.05,0.29183673469387755,-0.3419531250000001
54,480,0.05,0.37244897959183676,-0.34184375
55,480,0.05,0.45306122448979597,-0.3419531250000001
56,480,0.05,0.5336734693877552,-0.3419375
57,480,0.05,0.6142857142857144,-0.341984375
58,480,0.05,0.6948979591836736,-0.3418281249999999
59,480,0.05,0.7755102040816327,-0.34201562499999993
60,480,0.05,0.856122448979592,-0.3420000000000001
61,480,0.05,0.9367346938775512,-0.34201562499999993
62,480,0.05,1.0173469387755103,-0.341890625
63,480,0.05,1.0979591836734695,-0.3420468750000001
64,480,0.05,1.1785714285714288,-0.34201562499999993
65,480,0.05,1.259183673469388,-0.34201562499999993
66,480,0.05,1.3397959183673471,-0.3419531250000001
67,480,0.05,1.4204081632653063,-0.342078125
68,480,0.05,1.5010204081632654,-0.34206249999999994
69,480,0.05,1.5816326530612248,-0.342078125
70,480,0.05,1.662244897959184,-0.3420468750000001
71,480,0.05,1.742857142857143,-0.34215624999999994
72,480,0.05,1.8234693877551023,-0.3421875000000001
73,480,0.05,1.9040816326530614,-0.3422343750000001
74,480,0.05,1.9846938775510206,-0.34220312499999994
75,480,0.05,2.0653061224489795,-0.342359375
76,480,0.05,2.1459183673469386,-0.3424218750000001
77,480,0.05,2.2265306122448982,-0.3425
78,480,0.05,2.3071428571428574,-0.3426093750000001
79,480,0.05,2.3877551020408165,-0.3427968750000001
80,480,0.05,2.4683673469387757,-0.34299999999999997
81,480,0.05,2.548979591836735,-0.3432187499999999
82,480,0.05,2.629591836734694,-0.34362500000000007
83,480,0.05,2.710204081632653,-0.344125
84,480,0.05,2.7908163265306123,-0.34476562499999996
85,480,0.05,2.8714285714285714,-0.34546875
86,480,0.05,2.9520408163265306,-0.34668750000000004
87,480,0.05,3.0326530612244897,-0.348078125
88,480,0.05,3.1132653061224493,-0.3496718750000001
89,480,0.05,3.1938775510204085,-0.3514531249999999
90,480,0.05,3.2744897959183676,-0.3531875
91,480,0.05,3.355102040816327,-0.3553124999999999
92,480,0.05,3.435714285714286,-0.35706250000000006
93,480,0.05,3.516326530612245,-0.358765625
94,480,0.05,3.5969387755102042,-0.36029687499999996
95,480,0.05,3.6775510204081634,-0.3613124999999999
96,480,0.05,3.7581632653061225,-0.36196874999999995
97,480,0.05,3.8387755102040817,-0.3620000000000001
98,480,0.05,3.919387755102041,-0.3617187500000001
99,480,0.05,4.0,-0.36090625
100,480,0.05,0.05,-0.3499531250000001
101,480,0.1306122448979592,0.1306122448979592,-0.341703125
102,480,0.2112244897959184,0.2112244897959184,-0.3418593750000001
103,480,0.29183673469387755,0.29183673469387755,-0.34184375
104,480,0.37244897959183676,0.37244897959183676,-0.341890625
